id,title,price,rating,availability,category,image_url
12,"In a Dark, Dark Wood",47.82,1,In stock,Mystery,https://books.toscrape.com/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg
13,The Past Never Ends,47.82,4,In stock,Mystery,https://books.toscrape.com/media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg
14,A Murder in Time,47.82,1,In stock,Mystery,https://books.toscrape.com/media/cache/11/aa/11aaad48b5f15e262456ca65294084da.jpg
15,The Murder of Roger Ackroyd (Hercule Poirot #4),47.82,4,In stock,Mystery,https://books.toscrape.com/media/cache/29/fe/29fe70b1b2e5a9ba61d4bd331255e19e.jpg
16,The Last Mile (Amos Decker #2),47.82,2,In stock,Mystery,https://books.toscrape.com/media/cache/37/f1/37f118b4a56d866e1e8b563759d6966c.jpg
17,That Darkness (Gardiner and Renner #1),47.82,1,In stock,Mystery,https://books.toscrape.com/media/cache/44/9e/449ed681142bc336646abee754e96639.jpg
18,Tastes Like Fear (DI Marnie Rome #3),47.82,1,In stock,Mystery,https://books.toscrape.com/media/cache/3c/91/3c91d97266bd6dda322089695fb46daf.jpg
19,A Time of Torment (Charlie Parker #14),47.82,5,In stock,Mystery,https://books.toscrape.com/media/cache/e8/c0/e8c0ba15066bab950ae161fd60949b9a.jpg
20,A Study in Scarlet (Sherlock Holmes #1),47.82,2,In stock,Mystery,https://books.toscrape.com/media/cache/8f/a4/8fa41d6caa10e427356b8a590eb4d96b.jpg
21,Poisonous (Max Revere Novels #3),47.82,3,In stock,Mystery,https://books.toscrape.com/media/cache/23/52/2352718971d5e166fa9541a5a7d716fa.jpg
22,Murder at the 42nd Street Library (Raymond Ambler #1),47.82,4,In stock,Mystery,https://books.toscrape.com/media/cache/c3/8d/c38d65cd155b67ca025f0655bd1bb095.jpg
23,Most Wanted,47.82,3,In stock,Mystery,https://books.toscrape.com/media/cache/8b/bc/8bbc5ab4c3784b4d9b93eb0fd1fb6fd6.jpg
24,Hide Away (Eve Duncan #20),47.82,1,In stock,Mystery,https://books.toscrape.com/media/cache/57/07/5707c3d5d4fd44d943d51730ba7d429a.jpg
25,Boar Island (Anna Pigeon #19),47.82,3,In stock,Mystery,https://books.toscrape.com/media/cache/d5/81/d58157866ea8f015a8e4c55b23b8c96f.jpg
26,The Widow,47.82,2,In stock,Mystery,https://books.toscrape.com/media/cache/fd/71/fd71fb07247bf911505a351c0670c6dc.jpg
27,Playing with Fire,47.82,3,In stock,Mystery,https://books.toscrape.com/media/cache/90/0b/900bd2e60d56b6480a4e8eb2dddb46d6.jpg
28,What Happened on Beale Street (Secrets of the South Mysteries #2),47.82,5,In stock,Mystery,https://books.toscrape.com/media/cache/c7/ab/c7abb5e32bd37118a87523dcee0a70a6.jpg
29,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),47.82,5,In stock,Mystery,https://books.toscrape.com/media/cache/95/d7/95d7541679fcbd579b8a4f2b47231aaf.jpg
30,Delivering the Truth (Quaker Midwife Mystery #1),47.82,4,In stock,Mystery,https://books.toscrape.com/media/cache/57/31/5731a5d46c2c1e88977eb5e6d1337a2e.jpg
31,The Mysterious Affair at Styles (Hercule Poirot #1),24.80,4,In stock,Mystery,https://books.toscrape.com/media/cache/32/94/3294e5eaf73a37958583483fc9a90f04.jpg
32,In the Woods (Dublin Murder Squad #1),24.80,2,In stock,Mystery,https://books.toscrape.com/media/cache/24/a1/24a175dac7cb91ff26e2d723cdc6e098.jpg
33,The Silkworm (Cormoran Strike #2),24.80,5,In stock,Mystery,https://books.toscrape.com/media/cache/3a/2c/3a2c46cd40a7ecbd7c40815d6390fb8a.jpg
34,The Exiled,24.80,3,In stock,Mystery,https://books.toscrape.com/media/cache/2d/1a/2d1aeb1cc8a23064164e230fa232cc04.jpg
35,The Cuckoo's Calling (Cormoran Strike #1),24.80,1,In stock,Mystery,https://books.toscrape.com/media/cache/11/81/11815f24d043f77d4f09a3522a688a5c.jpg
36,Extreme Prey (Lucas Davenport #26),24.80,3,In stock,Mystery,https://books.toscrape.com/media/cache/de/86/de86d4f1563fad2ca088922fbbb2b36a.jpg
37,Career of Evil (Cormoran Strike #3),24.80,2,In stock,Mystery,https://books.toscrape.com/media/cache/9e/ff/9eff8b66d583e8f0ba58a0bc86de40f2.jpg
38,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),24.80,4,In stock,Mystery,https://books.toscrape.com/media/cache/34/2e/342ec55d460f3dd49d77dac2bd4ff489.jpg
39,The Girl You Lost,24.80,5,In stock,Mystery,https://books.toscrape.com/media/cache/90/0d/900dba6987796f4312a6a6737b0ea94d.jpg
40,The Girl In The Ice (DCI Erika Foster #1),24.80,3,In stock,Mystery,https://books.toscrape.com/media/cache/d8/f7/d8f77fe7f4bb8610e903741441f84702.jpg
41,Blood Defense (Samantha Brinkman #1),24.80,3,In stock,Mystery,https://books.toscrape.com/media/cache/cb/f6/cbf6d4b61953f29d7eedd2c9e01a9d74.jpg
42,1st to Die (Women's Murder Club #1),24.80,1,In stock,Mystery,https://books.toscrape.com/media/cache/2b/41/2b4161c5b72a4ae386b644682361b34a.jpg
43,Tipping the Velvet,53.74,1,In stock,Historical Fiction,https://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
44,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,53.74,3,In stock,Historical Fiction,https://books.toscrape.com/media/cache/d6/58/d658a1485b130ff26ca5fb0d5975ed2e.jpg
45,A Flight of Arrows (The Pathfinders #2),53.74,5,In stock,Historical Fiction,https://books.toscrape.com/media/cache/82/96/8296f92b70fb1dafefecda92c1d51941.jpg
46,The House by the Lake,53.74,1,In stock,Historical Fiction,https://books.toscrape.com/media/cache/0d/cb/0dcb33d60b0e79adf8ab9842e697ea2e.jpg
47,Mrs. Houdini,53.74,5,In stock,Historical Fiction,https://books.toscrape.com/media/cache/0e/fe/0efe86960cdff718aed01a5c3f65b1c3.jpg
48,The Marriage of Opposites,53.74,4,In stock,Historical Fiction,https://books.toscrape.com/media/cache/0f/c2/0fc21ec3489cb23116778ee84f425eca.jpg
49,Glory over Everything: Beyond The Kitchen House,53.74,3,In stock,Historical Fiction,https://books.toscrape.com/media/cache/96/41/964194a317f8ce5ed031bf4c9ceb43ab.jpg
50,"Love, Lies and Spies",53.74,2,In stock,Historical Fiction,https://books.toscrape.com/media/cache/7a/22/7a224a6e174af91950e9b124afe54e0e.jpg
51,A Paris Apartment,53.74,4,In stock,Historical Fiction,https://books.toscrape.com/media/cache/16/57/16575316618bd7e922d5b0e0f87de2ca.jpg
52,Lilac Girls,53.74,2,In stock,Historical Fiction,https://books.toscrape.com/media/cache/6c/2e/6c2e764e3ea89859b52df8de4f12af7a.jpg
53,The Constant Princess (The Tudor Court #1),53.74,3,In stock,Historical Fiction,https://books.toscrape.com/media/cache/fc/80/fc80b999ff4b8ef24b7071f62d2bf6d1.jpg
54,The Invention of Wings,53.74,1,In stock,Historical Fiction,https://books.toscrape.com/media/cache/62/fa/62fa1e72f06f05762db5d9cedf654153.jpg
55,World Without End (The Pillars of the Earth #2),53.74,4,In stock,Historical Fiction,https://books.toscrape.com/media/cache/be/7c/be7ce6fbc9a8e1a5a5b5c32e73cfd78a.jpg
56,The Passion of Dolssa,53.74,5,In stock,Historical Fiction,https://books.toscrape.com/media/cache/6b/82/6b822681c4035131560d40dd3b5a6a2e.jpg
57,Girl With a Pearl Earring,53.74,1,In stock,Historical Fiction,https://books.toscrape.com/media/cache/b7/ad/b7ad37d93d8401c84d7325aa645ff6d5.jpg
58,Voyager (Outlander #3),53.74,5,In stock,Historical Fiction,https://books.toscrape.com/media/cache/b5/d8/b5d813da01f2ccd7bcfe34e2b875e752.jpg
59,The Red Tent,53.74,5,In stock,Historical Fiction,https://books.toscrape.com/media/cache/b2/8f/b28f211e50e74445ca071d4279d1080d.jpg
60,The Last Painting of Sara de Vos,53.74,2,In stock,Historical Fiction,https://books.toscrape.com/media/cache/bf/fd/bffd473ab232c5f35e8c81bb927f1624.jpg
61,The Guernsey Literary and Potato Peel Pie Society,53.74,1,In stock,Historical Fiction,https://books.toscrape.com/media/cache/18/f7/18f7bf6366cd7a8b947fd790d808047b.jpg
62,Girl in the Blue Coat,53.74,2,In stock,Historical Fiction,https://books.toscrape.com/media/cache/bf/7a/bf7a5bc1d1ebac5e9b6fbb147828a123.jpg
63,Between Shades of Gray,20.79,5,In stock,Historical Fiction,https://books.toscrape.com/media/cache/f9/19/f919f64fc0e3642cdc604134bfd93774.jpg
64,While You Were Mine,20.79,5,In stock,Historical Fiction,https://books.toscrape.com/media/cache/45/e8/45e87bcad554d79eadf0f89df9cac6f9.jpg
65,The Secret Healer,20.79,3,In stock,Historical Fiction,https://books.toscrape.com/media/cache/69/d2/69d225899cce0a150c605ead01e02f60.jpg
66,Starlark,20.79,3,In stock,Historical Fiction,https://books.toscrape.com/media/cache/b4/9e/b49e66e8f446d9a3dae488955f2aa487.jpg
67,Lost Among the Living,20.79,4,In stock,Historical Fiction,https://books.toscrape.com/media/cache/5a/40/5a40d914bc3491e5909f1167f9cb34f2.jpg
68,A Spy's Devotion (The Regency Spies of London #1),20.79,5,In stock,Historical Fiction,https://books.toscrape.com/media/cache/1b/5f/1b5ff86f3c75e51e24c573d3f8bffd8f.jpg
69,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
70,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),52.29,1,In stock,Sequential Art,https://books.toscrape.com/media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg
71,This One Summer,52.29,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg
72,The Nameless City (The Nameless City #1),52.29,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg
73,"Saga, Volume 5 (Saga (Collected Editions) #5)",52.29,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg
74,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",52.29,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg
75,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",52.29,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg
76,"Pop Gun War, Volume 1: Gift",52.29,1,In stock,Sequential Art,https://books.toscrape.com/media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg
77,Patience,52.29,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/01/72/01726c619a05114dca75bd840095016d.jpg
78,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",52.29,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg
79,orange: The Complete Collection 1 (orange: The Complete Collection #1),52.29,1,In stock,Sequential Art,https://books.toscrape.com/media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg
80,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",52.29,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg
81,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",52.29,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg
82,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),52.29,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg
83,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",52.29,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/aa/74/aa74004807e97a79aa084b5db329a99b.jpg
84,I am a Hero Omnibus Volume 1,52.29,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/16/d4/16d443437126bf6d536a89312c1995a5.jpg
85,"Giant Days, Vol. 2 (Giant Days #5-8)",52.29,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/90/6f/906f0168b0e155a7077625499b1737b5.jpg
86,Danganronpa Volume 1,52.29,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/78/97/7897eea91c4a85aca58d925861d4afec.jpg
87,"Codename Baboushka, Volume 1: The Conclave of Death",52.29,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/f6/88/f688a9d6a89fdf38e4e88439ee9eda69.jpg
88,Camp Midnight,52.29,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/dd/c9/ddc95df6754df8e71bf969c088056188.jpg
89,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/e4/1d/e41d34204a1fffbf825d8beb3dbf4cbc.jpg
90,The Shadow Hero (The Shadow Hero),37.92,1,In stock,Sequential Art,https://books.toscrape.com/media/cache/1f/62/1f621dda1b302fc16d83d94b0b5ac31c.jpg
91,"Fables, Vol. 1: Legends in Exile (Fables #1)",37.92,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/51/8c/518c184a793b751b43045637c8002eb7.jpg
92,Batman: The Long Halloween (Batman),37.92,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/78/a7/78a7f184a4d6d62412861c68f1c3ad90.jpg
93,Batman: The Dark Knight Returns (Batman),37.92,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/be/a9/bea95dbd7b2a843519c9a1dcfc433f9b.jpg
94,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.92,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/19/39/19396172462f4cc0504d4e6e8b0e1647.jpg
95,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",37.92,1,In stock,Sequential Art,https://books.toscrape.com/media/cache/66/d6/66d6d2b4c0acfa8f40ad0285186ed2d8.jpg
96,Through the Woods,37.92,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/4c/af/4caf8f2a5ee8828d408cc8faadd3419c.jpg
97,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),37.92,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/7e/c0/7ec0e9ca6153a23b2024b7df7407ee84.jpg
98,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",37.92,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/b2/48/b2484d13793ff1c4271a3d4023d4d24e.jpg
99,Robin War,37.92,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/45/1d/451d3543022242b8b245793e6b5c26bb.jpg
100,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",37.92,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/da/78/da78757466c3b0a2c89f0ddf6b5e642f.jpg
101,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",37.92,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/c8/22/c822360ce0f91c40f7a0491c22287646.jpg
102,Lowriders to the Center of the Earth (Lowriders in Space #2),37.92,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/b2/97/b2978e96069dd91785e5ab0bc99c022e.jpg
103,El Deafo,37.92,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/34/eb/34eb0f1b570d4f1f6ad106652f1ac6ff.jpg
104,Batman: Europa,37.92,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/f1/fe/f1fecf0ce9b5771e4d2c9619e8550988.jpg
105,Art Ops Vol. 1,37.92,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/0b/b4/0bb4c64f1522c033368df5567a349472.jpg
106,Adulthood Is a Myth: A Sarah's Scribbles Collection,37.92,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/a2/b9/a2b974e5a66e7502c77d2e4632abe033.jpg
107,"Fruits Basket, Vol. 9 (Fruits Basket #9)",37.92,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/7c/ea/7cea6ff4f6f1427739b136db35fbfad4.jpg
108,Roller Girl,37.92,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/b8/bd/b8bd3e5bc547c7c851689a844c9db429.jpg
109,"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,1,In stock,Sequential Art,https://books.toscrape.com/media/cache/b4/36/b43672509477baa090e57ebeacbb28fb.jpg
110,"Fruits Basket, Vol. 6 (Fruits Basket #6)",19.57,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/94/1a/941a14dec32f0a949c38a325a715c138.jpg
111,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",19.57,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/07/5c/075c210f5ce43b84d29646a54529d1bd.jpg
112,"Fruits Basket, Vol. 5 (Fruits Basket #5)",19.57,1,In stock,Sequential Art,https://books.toscrape.com/media/cache/51/cf/51cf19c74f21a7043910615fefcf0847.jpg
113,"Death Note, Vol. 5: Whiteout (Death Note #5)",19.57,1,In stock,Sequential Art,https://books.toscrape.com/media/cache/4e/c1/4ec161cc09ee437c9eda6d437d232a11.jpg
114,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",19.57,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/47/71/477173fe3000a6da4b241c2e71a21418.jpg
115,"Fruits Basket, Vol. 4 (Fruits Basket #4)",19.57,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/38/79/38794d8729a111018260d931e7101de2.jpg
116,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",19.57,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/ee/ed/eeeddf8af9e6cc8c7f71c0e41de1b562.jpg
117,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",19.57,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/bb/18/bb1845c22faea465cad3d556d22936a2.jpg
118,"Saga, Volume 3 (Saga (Collected Editions) #3)",19.57,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/d8/fd/d8fd30b3e5781e880a3efe4c9495b417.jpg
119,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),19.57,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/c9/a5/c9a559e3ba407c1d70ebfc4e2f0d82db.jpg
120,Persepolis: The Story of a Childhood (Persepolis #1-2),19.57,1,In stock,Sequential Art,https://books.toscrape.com/media/cache/14/98/14987a55d9609e706d2619814e2a8b0a.jpg
121,Original Fake,19.57,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/e7/29/e72934871f9b42a807d976670a446e12.jpg
122,"Grayson, Vol 3: Nemesis (Grayson #3)",19.57,1,In stock,Sequential Art,https://books.toscrape.com/media/cache/f9/4c/f94cfc3c82abb799568d1ea029b1d3d1.jpg
123,"Fruits Basket, Vol. 3 (Fruits Basket #3)",19.57,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/7b/e7/7be75475a916d6df4edebfc5fe36c3f9.jpg
124,"Black Butler, Vol. 1 (Black Butler #1)",19.57,1,In stock,Sequential Art,https://books.toscrape.com/media/cache/99/48/9948564dec3ac2f9e32419911b181e37.jpg
125,Awkward,19.57,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/41/72/417255e608c389aedfb68491dae92c9c.jpg
126,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",19.57,1,In stock,Sequential Art,https://books.toscrape.com/media/cache/e3/ae/e3ae48fe07d77611b49b5b78d99418ae.jpg
127,"Saga, Volume 2 (Saga (Collected Editions) #2)",19.57,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/1a/eb/1aeb5d30809ad96d7c323228a2bd23d3.jpg
128,"Fruits Basket, Vol. 2 (Fruits Basket #2)",19.57,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/e9/fb/e9fb3236b73384253144f89b6eec6a68.jpg
129,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/ae/16/ae169bb5ae814e0fb900cdf9e99332a7.jpg
130,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",18.51,2,In stock,Sequential Art,https://books.toscrape.com/media/cache/64/75/64752f8cdae54b164fb81bfd81accd55.jpg
131,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",18.51,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/56/ea/56eac75378feb4cab0dcb9d2101cf58b.jpg
132,The Complete Maus (Maus #1-2),18.51,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/a6/f8/a6f889e0ba02be31875d3a324090ef5e.jpg
133,"Skip Beat!, Vol. 01 (Skip Beat! #1)",18.51,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/6c/60/6c607509837e2b362ffd7c0e15e7b1f9.jpg
134,"Saga, Volume 1 (Saga (Collected Editions) #1)",18.51,1,In stock,Sequential Art,https://books.toscrape.com/media/cache/c6/ca/c6cab3f679acb45fd2eba092ec9f6a2a.jpg
135,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",18.51,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/0d/22/0d22f9ee696b7443d1573e7752645c6d.jpg
136,"Paper Girls, Vol. 1 (Paper Girls #1-5)",18.51,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/87/2b/872ba3b06a97e6662770bc2152595b84.jpg
137,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",18.51,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/d5/c5/d5c5a6ebf05b68bee78a38a8ea62305d.jpg
138,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",18.51,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/f4/96/f496db4d78639e233978ae2bee021752.jpg
139,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",18.51,3,In stock,Sequential Art,https://books.toscrape.com/media/cache/16/46/16460146a1a8b99c82da027368383ade.jpg
140,"Giant Days, Vol. 1 (Giant Days #1-4)",18.51,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/35/0b/350b1224dc46533851d5a34134e44842.jpg
141,"Fruits Basket, Vol. 1 (Fruits Basket #1)",18.51,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/7c/c1/7cc13a8fb238202250e87843c1a62f94.jpg
142,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",18.51,5,In stock,Sequential Art,https://books.toscrape.com/media/cache/a8/38/a8383903c98af18b898b9d70d5be2c16.jpg
143,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",18.51,4,In stock,Sequential Art,https://books.toscrape.com/media/cache/09/7c/097cb5ecc6fb3fbe1690cf0cbdea4ac5.jpg
144,The Secret Garden,15.08,4,In stock,Classics,https://books.toscrape.com/media/cache/c5/46/c5465a06182ed6ebfa40d049258a2f58.jpg
145,The Metamorphosis,15.08,1,In stock,Classics,https://books.toscrape.com/media/cache/4a/1b/4a1b6e9c1af75db0dc34ae63344f6883.jpg
146,The Pilgrim's Progress,15.08,2,In stock,Classics,https://books.toscrape.com/media/cache/45/bb/45bb59d19eb3aa868293d44809078418.jpg
147,The Hound of the Baskervilles (Sherlock Holmes #5),15.08,2,In stock,Classics,https://books.toscrape.com/media/cache/1f/b0/1fb03cdabe6001c8a2620f65e025cbd5.jpg
148,Little Women (Little Women #1),15.08,4,In stock,Classics,https://books.toscrape.com/media/cache/81/f5/81f559ebe403317226fa8b611e35ce8a.jpg
149,Gone with the Wind,15.08,3,In stock,Classics,https://books.toscrape.com/media/cache/27/82/2782701b5c877cb063065b9fc14c5b13.jpg
150,Candide,15.08,3,In stock,Classics,https://books.toscrape.com/media/cache/e3/c4/e3c4aba2409bb769a6488805e3fc4709.jpg
151,Animal Farm,15.08,3,In stock,Classics,https://books.toscrape.com/media/cache/10/db/10db56354b4550d92270c6f097d9bebc.jpg
152,Wuthering Heights,15.08,3,In stock,Classics,https://books.toscrape.com/media/cache/93/4e/934e966c1ddf559d3ac2b5c1407aaf1e.jpg
153,The Picture of Dorian Gray,15.08,2,In stock,Classics,https://books.toscrape.com/media/cache/a6/72/a67245346daa38c2b23a4fc64c6e7115.jpg
154,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),15.08,4,In stock,Classics,https://books.toscrape.com/media/cache/42/c4/42c48f11b7e70a0f76c5ba9cb5c5018a.jpg
155,Beowulf,15.08,2,In stock,Classics,https://books.toscrape.com/media/cache/dd/6e/dd6e7b84e99f3b4b5655ea0db74af2b4.jpg
156,And Then There Were None,15.08,2,In stock,Classics,https://books.toscrape.com/media/cache/21/bf/21bf2eb0bff3134837def8bd40845ba0.jpg
157,The Story of Hong Gildong,15.08,4,In stock,Classics,https://books.toscrape.com/media/cache/ab/16/ab16eb035cc58809a73c4699477de9cb.jpg
158,The Little Prince,15.08,2,In stock,Classics,https://books.toscrape.com/media/cache/c0/78/c078355608dd81c7c5e4f5e1c5f73d23.jpg
159,Sense and Sensibility,15.08,1,In stock,Classics,https://books.toscrape.com/media/cache/7d/53/7d53e2264b9647ee307259be9f73585d.jpg
